,Model,Target,Template,GDT_TS,GDT_HA,SeqLength,identity,positive,coverage,identity(-misres),positive(-misres),coverage(-misres),num_misres
6265,3KGW_A_7E7G_A_2_5,3KGW_A,7E7G_A_2,0.6755,0.4573,393,93,155,359,93,155,359,0
6266,3KGW_A_2BKW_A_2_3,3KGW_A,2BKW_A_2,0.6723,0.4864,393,86,150,349,86,150,349,5
6267,3KGW_A_4W91_A_3_4,3KGW_A,4W91_A_3,0.4657,0.2804,393,62,122,345,62,122,345,1
6268,3KGW_A_6MFB_A_1_5,3KGW_A,6MFB_A_1,0.9216,0.7798,393,172,248,379,172,248,379,0
6269,3KGW_A_1VJO_A_1_4,3KGW_A,1VJO_A_1,0.8711,0.6962,393,168,239,370,168,239,370,7
6270,3KGW_A_6PK1_A_2_2,3KGW_A,6PK1_A_2,0.6723,0.4806,393,95,157,341,95,157,341,0
6271,3KGW_A_6CZY_A_3_2,3KGW_A,6CZY_A_3,0.5136,0.3128,393,56,123,357,56,123,356,1
6272,3KGW_A_3ZRP_A_1_3,3KGW_A,3ZRP_A_1,0.6846,0.4877,393,98,175,344,96,172,341,3
6273,3KGW_A_3NNK_A_1_3,3KGW_A,3NNK_A_1,0.8387,0.649,393,133,192,369,133,192,369,1
6274,3KGW_A_2YRI_A_1_1,3KGW_A,2YRI_A_1,0.7655,0.5687,393,121,185,361,119,183,359,2
6275,3KGW_A_5XT5_A_3_5,3KGW_A,5XT5_A_3,0.4741,0.2915,393,51,122,345,51,122,345,0
6276,3KGW_A_1M32_A_2_2,3KGW_A,1M32_A_2,0.6969,0.4773,393,87,156,363,87,156,361,12
6277,3KGW_A_3ISL_A_1_2,3KGW_A,3ISL_A_1,0.8102,0.6218,393,122,195,358,121,194,358,18
6278,3KGW_A_3F0H_A_2_3,3KGW_A,3F0H_A_2,0.6593,0.4462,393,77,138,357,77,138,357,14
6279,3KGW_A_6C9E_A_3_2,3KGW_A,6C9E_A_3,0.478,0.2889,393,47,111,344,47,111,344,1
6280,3KGW_A_4Q76_A_3_1,3KGW_A,4Q76_A_3,0.4825,0.29600000000000004,393,48,121,345,48,121,345,1
6281,3KGW_A_1T3I_A_3_1,3KGW_A,1T3I_A_3,0.5104,0.3083,393,69,136,375,68,135,375,2
6282,3KGW_A_2HUF_A_1_3,3KGW_A,2HUF_A_1,0.9028,0.7571,393,181,247,377,181,247,377,1
6283,3KGW_A_6NDN_A_3_5,3KGW_A,6NDN_A_3,0.4838,0.2947,393,59,112,350,59,112,350,0
6284,3KGW_A_4W91_A_3_3,3KGW_A,4W91_A_3,0.4508,0.2662,393,62,122,345,62,122,345,1
6285,3KGW_A_2DR1_A_1_5,3KGW_A,2DR1_A_1,0.7079,0.4916,393,97,177,371,97,177,371,0
6286,3KGW_A_6WCI_A_3_1,3KGW_A,6WCI_A_3,0.4786,0.2915,393,57,114,360,56,113,360,5
6287,3KGW_A_6CZY_A_3_4,3KGW_A,6CZY_A_3,0.511,0.3102,393,56,123,357,56,123,356,1
6288,3KGW_A_2BKW_A_2_5,3KGW_A,2BKW_A_2,0.6697,0.4819,393,86,150,349,86,150,349,5
6289,3KGW_A_5B87_A_3_4,3KGW_A,5B87_A_3,0.4987,0.3102,393,62,141,388,60,139,384,5
6290,3KGW_A_3ISL_A_1_3,3KGW_A,3ISL_A_1,0.8076,0.6192,393,122,195,358,121,194,358,18
6291,3KGW_A_1BT4_A_3_4,3KGW_A,1BT4_A_3,0.5329999999999999,0.3355,393,60,119,358,60,119,358,0
6292,3KGW_A_2HUF_A_1_1,3KGW_A,2HUF_A_1,0.9113,0.7636,393,181,247,377,181,247,377,1
6293,3KGW_A_2YRI_A_1_5,3KGW_A,2YRI_A_1,0.7707,0.5699,393,121,185,361,119,183,359,2
6294,3KGW_A_2BKW_A_2_2,3KGW_A,2BKW_A_2,0.6709999999999999,0.4819,393,86,150,349,86,150,349,5
6295,3KGW_A_1M32_A_2_3,3KGW_A,1M32_A_2,0.6859,0.4683,393,87,156,363,87,156,361,12
6296,3KGW_A_6NDN_A_3_3,3KGW_A,6NDN_A_3,0.4832,0.29600000000000004,393,59,112,350,59,112,350,0
6297,3KGW_A_3NNK_A_1_2,3KGW_A,3NNK_A_1,0.8426,0.6528,393,133,192,369,133,192,369,1
6298,3KGW_A_6MFB_A_1_2,3KGW_A,6MFB_A_1,0.91,0.7733,393,172,248,379,172,248,379,0
6299,3KGW_A_6CZY_A_3_3,3KGW_A,6CZY_A_3,0.5188,0.3161,393,56,123,357,56,123,356,1
6300,3KGW_A_3ZRP_A_1_1,3KGW_A,3ZRP_A_1,0.682,0.4851,393,98,175,344,96,172,341,3
6301,3KGW_A_6C9E_A_3_4,3KGW_A,6C9E_A_3,0.4812,0.2934,393,47,111,344,47,111,344,1
6302,3KGW_A_4W91_A_3_1,3KGW_A,4W91_A_3,0.4598,0.2727,393,62,122,345,62,122,345,1
6303,3KGW_A_6CZY_A_3_5,3KGW_A,6CZY_A_3,0.5162,0.3167,393,56,123,357,56,123,356,1
6304,3KGW_A_2Z9U_A_2_1,3KGW_A,2Z9U_A_2,0.7383,0.5253,393,85,149,367,85,149,367,0
6305,3KGW_A_6C9E_A_3_5,3KGW_A,6C9E_A_3,0.4728,0.2837,393,47,111,344,47,111,344,1
6306,3KGW_A_1VJO_A_1_2,3KGW_A,1VJO_A_1,0.8756,0.7001,393,168,239,370,168,239,370,7
6307,3KGW_A_2Z9U_A_2_5,3KGW_A,2Z9U_A_2,0.7364,0.522,393,85,149,367,85,149,367,0
6308,3KGW_A_6C9E_A_3_3,3KGW_A,6C9E_A_3,0.4799,0.2908,393,47,111,344,47,111,344,1
6309,3KGW_A_1T3I_A_3_4,3KGW_A,1T3I_A_3,0.5142,0.3115,393,69,136,375,68,135,375,2
6310,3KGW_A_7E7G_A_2_4,3KGW_A,7E7G_A_2,0.6755,0.4585,393,93,155,359,93,155,359,0
6311,3KGW_A_3NNK_A_1_1,3KGW_A,3NNK_A_1,0.8361,0.6483,393,133,192,369,133,192,369,1
6312,3KGW_A_2CH1_A_1_3,3KGW_A,2CH1_A_1,0.9106,0.7681,393,166,245,379,166,245,379,0
6313,3KGW_A_1T3I_A_3_3,3KGW_A,1T3I_A_3,0.5091,0.3089,393,69,136,375,68,135,375,2
6314,3KGW_A_2HUF_A_1_5,3KGW_A,2HUF_A_1,0.9171,0.7681,393,181,247,377,181,247,377,1
6315,3KGW_A_6CZY_A_3_1,3KGW_A,6CZY_A_3,0.5104,0.3096,393,56,123,357,56,123,356,1
6316,3KGW_A_1IUG_A_2_3,3KGW_A,1IUG_A_2,0.6412,0.4391,393,95,157,363,95,157,363,1
6317,3KGW_A_3KE3_A_2_5,3KGW_A,3KE3_A_2,0.5667,0.3756,393,77,139,341,77,139,341,9
6318,3KGW_A_2HUF_A_2_3,3KGW_A,2HUF_A_2,0.9106,0.7655,393,181,247,381,181,247,381,1
6319,3KGW_A_2HUF_A_2_2,3KGW_A,2HUF_A_2,0.9028,0.7571,393,181,247,381,181,247,381,1
6320,3KGW_A_3R9A_A_1_4,3KGW_A,3R9A_A_1,0.9339,0.8238,393,300,337,392,298,333,387,6
6321,3KGW_A_4I8A_A_1_4,3KGW_A,4I8A_A_1,0.9165,0.7668,393,299,336,392,297,332,387,6
6322,3KGW_A_1VJO_A_2_2,3KGW_A,1VJO_A_2,0.8692,0.6949,393,168,239,371,168,239,371,7
6323,3KGW_A_2HUF_A_3_3,3KGW_A,2HUF_A_3,0.9113,0.7609999999999999,393,181,248,385,181,248,385,1
6324,3KGW_A_2CH1_A_3_3,3KGW_A,2CH1_A_3,0.9079999999999999,0.7623,393,166,245,380,166,245,380,0
6325,3KGW_A_5OFY_A_1_5,3KGW_A,5OFY_A_1,0.9313,0.8005,393,300,338,392,296,333,385,7
6326,3KGW_A_1VJO_A_2_1,3KGW_A,1VJO_A_2,0.8789,0.7047,393,168,239,371,168,239,371,7
6327,3KGW_A_3ISL_A_3_4,3KGW_A,3ISL_A_3,0.8355,0.6418,393,123,194,370,122,193,369,19
6328,3KGW_A_4I8A_A_2_1,3KGW_A,4I8A_A_2,0.9177,0.7714,393,299,336,393,297,332,387,7
6329,3KGW_A_3NNK_A_3_4,3KGW_A,3NNK_A_3,0.8491,0.6516,393,132,191,372,132,191,372,1
6330,3KGW_A_2Z9U_A_3_1,3KGW_A,2Z9U_A_3,0.7435,0.5317,393,84,148,367,84,148,367,0
6331,3KGW_A_6MFB_A_2_4,3KGW_A,6MFB_A_2,0.9177,0.7837,393,172,248,379,172,248,379,0
6332,3KGW_A_2CH1_A_3_2,3KGW_A,2CH1_A_3,0.9041,0.7617,393,166,245,380,166,245,380,0
6333,3KGW_A_4I8A_A_2_5,3KGW_A,4I8A_A_2,0.9152,0.7688,393,299,336,393,297,332,387,7
6334,3KGW_A_1VJO_A_2_4,3KGW_A,1VJO_A_2,0.8724,0.6995,393,168,239,371,168,239,371,7
6335,3KGW_A_5F9S_A_2_5,3KGW_A,5F9S_A_2,0.9488,0.8284,393,298,333,386,297,332,386,1
6336,3KGW_A_4I8A_A_1_1,3KGW_A,4I8A_A_1,0.9177,0.7714,393,299,336,392,297,332,387,6
6337,3KGW_A_3NNK_A_3_5,3KGW_A,3NNK_A_3,0.851,0.6593,393,132,191,372,132,191,372,1
6338,3KGW_A_3R9A_A_2_3,3KGW_A,3R9A_A_2,0.932,0.8251,393,300,337,393,298,333,387,7
6339,3KGW_A_3NNK_A_3_1,3KGW_A,3NNK_A_3,0.8452,0.6567,393,132,191,372,132,191,372,1
6340,3KGW_A_2YRI_A_3_4,3KGW_A,2YRI_A_3,0.7778,0.5719,393,120,182,361,118,180,359,2
6341,3KGW_A_4I8A_A_1_2,3KGW_A,4I8A_A_1,0.91,0.7707,393,299,336,392,297,332,387,6
6342,3KGW_A_4I8A_A_2_2,3KGW_A,4I8A_A_2,0.91,0.7707,393,299,336,393,297,332,387,7
6343,3KGW_A_2CH1_A_2_4,3KGW_A,2CH1_A_2,0.9119,0.7578,393,166,245,379,166,245,379,0
6344,3KGW_A_3R9A_A_1_1,3KGW_A,3R9A_A_1,0.9313,0.8148,393,300,337,392,298,333,387,6
6345,3KGW_A_6MFB_A_2_5,3KGW_A,6MFB_A_2,0.9216,0.7798,393,172,248,379,172,248,379,0
6346,3KGW_A_2HUF_A_3_1,3KGW_A,2HUF_A_3,0.9074,0.7636,393,181,248,385,181,248,385,1
6347,3KGW_A_4KYO_A_2_4,3KGW_A,4KYO_A_2,0.9352,0.8225,393,301,338,393,299,334,387,6
6348,3KGW_A_2CH1_A_2_5,3KGW_A,2CH1_A_2,0.9177,0.7681,393,166,245,379,166,245,379,0
6349,3KGW_A_6MFB_A_2_2,3KGW_A,6MFB_A_2,0.91,0.7733,393,172,248,379,172,248,379,0
6350,3KGW_A_4KXK_A_1_4,3KGW_A,4KXK_A_1,0.9365,0.8174,393,300,337,392,298,333,387,5
6351,3KGW_A_6PK1_A_3_5,3KGW_A,6PK1_A_3,0.6891,0.4858,393,91,155,347,91,155,347,0
6352,3KGW_A_3ZRP_A_3_3,3KGW_A,3ZRP_A_3,0.6956,0.4935,393,101,180,365,99,177,361,4
6353,3KGW_A_6MFB_A_2_1,3KGW_A,6MFB_A_2,0.9177,0.7746,393,172,248,379,172,248,379,0
6354,3KGW_A_2HUF_A_3_2,3KGW_A,2HUF_A_3,0.9054,0.7623,393,181,248,385,181,248,385,1
6355,3KGW_A_2HUF_A_2_1,3KGW_A,2HUF_A_2,0.9079999999999999,0.7604,393,181,247,381,181,247,381,1
6356,3KGW_A_3ISL_A_3_3,3KGW_A,3ISL_A_3,0.8335,0.6451,393,123,194,370,122,193,369,19
6357,3KGW_A_3ZRP_A_3_5,3KGW_A,3ZRP_A_3,0.6904,0.4851,393,101,180,365,99,177,361,4
6358,3KGW_A_4KYO_A_1_4,3KGW_A,4KYO_A_1,0.9352,0.8225,393,301,338,392,299,334,387,5
6359,3KGW_A_4I8A_A_2_4,3KGW_A,4I8A_A_2,0.9165,0.7668,393,299,336,393,297,332,387,7
6360,3KGW_A_2DR1_A_3_1,3KGW_A,2DR1_A_3,0.7247,0.5071,393,92,176,375,92,176,375,0
6361,3KGW_A_3NNK_A_3_3,3KGW_A,3NNK_A_3,0.8381,0.6477,393,132,191,372,132,191,372,1
6362,3KGW_A_6MFB_A_3_4,3KGW_A,6MFB_A_3,0.9177,0.7824,393,172,248,380,172,248,380,0
6363,3KGW_A_6PK1_A_3_3,3KGW_A,6PK1_A_3,0.6878,0.4832,393,91,155,347,91,155,347,0
6364,3KGW_A_3ISL_A_3_2,3KGW_A,3ISL_A_3,0.8355,0.6444,393,123,194,370,122,193,369,19
6365,3KGW_A_2HUF_A_2_4,3KGW_A,2HUF_A_2,0.9145,0.7636,393,181,247,381,181,247,381,1
6366,3KGW_A_2CH1_A_2_2,3KGW_A,2CH1_A_2,0.9061,0.7649,393,166,245,379,166,245,379,0
6367,3KGW_A_3ZRP_A_3_2,3KGW_A,3ZRP_A_3,0.6988,0.4968,393,101,180,365,99,177,361,4
6368,3KGW_A_6MFB_A_3_2,3KGW_A,6MFB_A_3,0.9126,0.7714,393,172,248,380,172,248,380,0
6369,3KGW_A_6PK1_A_3_1,3KGW_A,6PK1_A_3,0.693,0.4903,393,91,155,347,91,155,347,0
6370,3KGW_A_5F9S_A_2_2,3KGW_A,5F9S_A_2,0.9307,0.8122,393,298,333,386,297,332,386,1
6371,3KLK_A_6HVG_A_1_1,3KLK_A,6HVG_A_1,0.7122,0.5815,1039,529,686,996,529,686,996,0
6372,3KLK_A_5LFC_A_1_2,3KLK_A,5LFC_A_1,0.6479,0.5015,1039,459,642,994,459,642,994,0
6373,3KLK_A_3AIB_A_1_2,3KLK_A,3AIB_A_1,0.6609999999999999,0.5164,1039,433,562,832,433,562,832,0
6374,3KLK_A_6HVG_A_1_4,3KLK_A,6HVG_A_1,0.7167,0.5870000000000001,1039,529,686,996,529,686,996,0
6375,3KLK_A_5LFC_A_1_4,3KLK_A,5LFC_A_1,0.6623,0.5229,1039,459,642,994,459,642,994,0
6376,3KLK_A_5JBE_A_1_4,3KLK_A,5JBE_A_1,0.6183,0.4515,1039,332,489,833,332,489,833,0
6377,3KLK_A_3AIB_A_1_3,3KLK_A,3AIB_A_1,0.672,0.5288,1039,433,562,832,433,562,832,0
6378,3KLK_A_5JBE_A_1_1,3KLK_A,5JBE_A_1,0.6131,0.4448,1039,332,489,833,332,489,833,0
6379,3KLK_A_6HVG_A_1_2,3KLK_A,6HVG_A_1,0.7187,0.5877,1039,529,686,996,529,686,996,0
6380,3KLK_A_4TVD_A_1_5,3KLK_A,4TVD_A_1,0.6764,0.54,1039,437,581,879,437,581,879,5
6381,3KLK_A_4AMC_A_1_2,3KLK_A,4AMC_A_1,0.7811,0.618,1039,734,861,1018,727,854,1011,7
6382,3KLK_A_4TVD_A_1_1,3KLK_A,4TVD_A_1,0.6705,0.5306,1039,437,581,879,437,581,879,5
6383,3KLK_A_4TVD_A_1_2,3KLK_A,4TVD_A_1,0.6772,0.5375,1039,437,581,879,437,581,879,5
6384,3KLK_A_4AMC_A_1_3,3KLK_A,4AMC_A_1,0.7868,0.6203,1039,734,861,1018,727,854,1011,7
6385,3KLK_A_3AIB_A_1_4,3KLK_A,3AIB_A_1,0.6737,0.5335,1039,433,562,832,433,562,832,0
6386,3KLK_A_6HVG_A_1_5,3KLK_A,6HVG_A_1,0.7214,0.5915,1039,529,686,996,529,686,996,0
6387,3KLK_A_3AIB_A_1_5,3KLK_A,3AIB_A_1,0.6814,0.542,1039,433,562,832,433,562,832,0
6388,3KLK_A_5LFC_A_1_5,3KLK_A,5LFC_A_1,0.6508,0.5052,1039,459,642,994,459,642,994,0
6389,3KLK_A_6HVG_A_1_3,3KLK_A,6HVG_A_1,0.7095,0.5778,1039,529,686,996,529,686,996,0
6390,3KLK_A_5LFC_A_1_1,3KLK_A,5LFC_A_1,0.6506,0.5057,1039,459,642,994,459,642,994,0
6391,3KLK_A_4TVD_A_1_3,3KLK_A,4TVD_A_1,0.6752,0.5365,1039,437,581,879,437,581,879,5
6392,3KLK_A_5JBE_A_1_3,3KLK_A,5JBE_A_1,0.62,0.45299999999999996,1039,332,489,833,332,489,833,0
6393,3KLK_A_5JBE_A_1_2,3KLK_A,5JBE_A_1,0.6143,0.4491,1039,332,489,833,332,489,833,0
6394,3KLK_A_3AIB_A_1_1,3KLK_A,3AIB_A_1,0.6764,0.5358,1039,433,562,832,433,562,832,0
6395,3KLK_A_4TVD_A_1_4,3KLK_A,4TVD_A_1,0.6792,0.5435,1039,437,581,879,437,581,879,5
6396,3KLK_A_5LFC_A_1_3,3KLK_A,5LFC_A_1,0.665,0.5226,1039,459,642,994,459,642,994,0
6397,3KLK_A_4AMC_A_1_5,3KLK_A,4AMC_A_1,0.7845,0.6233,1039,734,861,1018,727,854,1011,7
6398,3KLK_A_5JBE_A_1_5,3KLK_A,5JBE_A_1,0.6218,0.4533,1039,332,489,833,332,489,833,0
6399,3KLK_A_6SYQ_A_1_2,3KLK_A,6SYQ_A_1,0.7202,0.5905,1039,530,685,996,530,685,996,0
6400,3KLK_A_4TVD_A_3_4,3KLK_A,4TVD_A_3,0.6779,0.5395,1039,434,575,889,432,572,881,13
6401,3KLK_A_6SZI_A_2_4,3KLK_A,6SZI_A_2,0.7202,0.5922,1039,524,684,1007,524,684,1007,0
6402,3KLK_A_3TTO_A_1_1,3KLK_A,3TTO_A_1,0.6849,0.5435,1039,437,582,879,437,582,879,0
6403,3KLK_A_5LFC_A_2_2,3KLK_A,5LFC_A_2,0.6546,0.5032,1039,456,639,1015,456,638,1012,3
6404,3KLK_A_6SYQ_A_3_3,3KLK_A,6SYQ_A_3,0.7115,0.5825,1039,524,683,1009,524,683,1009,0
6405,3KLK_A_5LFC_A_3_3,3KLK_A,5LFC_A_3,0.664,0.5119,1039,455,638,1020,455,636,1012,8
6406,3KLK_A_3TTO_A_2_1,3KLK_A,3TTO_A_2,0.6918,0.547,1039,437,583,888,437,583,888,0
6407,3KLK_A_4AMC_A_2_4,3KLK_A,4AMC_A_2,0.8009,0.6407,1039,729,857,1018,722,850,1011,7
6408,3KLK_A_4TTU_A_3_4,3KLK_A,4TTU_A_3,0.6807,0.5504,1039,434,575,889,432,572,881,10
6409,3KLK_A_5LFC_A_2_1,3KLK_A,5LFC_A_2,0.6705,0.5206,1039,456,639,1015,456,638,1012,3
6410,3KLK_A_6HVG_A_2_5,3KLK_A,6HVG_A_2,0.7058,0.5733,1039,524,684,1007,524,684,1007,0
6411,3KLK_A_5NGY_A_2_5,3KLK_A,5NGY_A_2,0.6434,0.4871,1039,455,639,1015,455,638,1011,4
6412,3KLK_A_4TTU_A_1_3,3KLK_A,4TTU_A_1,0.6822,0.5539,1039,437,581,879,437,581,879,2
6413,3KLK_A_3AIB_A_2_3,3KLK_A,3AIB_A_2,0.67,0.5224,1039,433,564,838,433,563,837,1
6414,3KLK_A_4AMC_A_3_4,3KLK_A,4AMC_A_3,0.8032,0.6434,1039,728,853,1018,721,846,1011,7
6415,3KLK_A_4TVD_A_2_4,3KLK_A,4TVD_A_2,0.6737,0.5333,1039,437,582,888,435,579,880,12
6416,3KLK_A_6SYQ_A_3_4,3KLK_A,6SYQ_A_3,0.7169,0.5892,1039,524,683,1009,524,683,1009,0
6417,3KLK_A_4TVD_A_2_3,3KLK_A,4TVD_A_2,0.6709999999999999,0.536,1039,437,582,888,435,579,880,12
6418,3KLK_A_4TVD_A_3_2,3KLK_A,4TVD_A_3,0.6794,0.5393,1039,434,575,889,432,572,881,13
6419,3KLK_A_5LFC_A_2_5,3KLK_A,5LFC_A_2,0.6466,0.493,1039,456,639,1015,456,638,1012,3
6420,3KLK_A_4TTU_A_1_4,3KLK_A,4TTU_A_1,0.6799,0.5522,1039,437,581,879,437,581,879,2
6421,3KLK_A_6HVG_A_2_4,3KLK_A,6HVG_A_2,0.7087,0.5755,1039,524,684,1007,524,684,1007,0
6422,3KLK_A_6SYQ_A_2_1,3KLK_A,6SYQ_A_2,0.7169,0.5895,1039,524,684,1007,524,684,1007,0
6423,3KLK_A_4TTU_A_1_1,3KLK_A,4TTU_A_1,0.6854,0.5564,1039,437,581,879,437,581,879,2
6424,3KLK_A_6SYQ_B_1_2,3KLK_A,6SYQ_B_1,0.7326,0.6086,1039,530,685,996,530,685,996,0
6425,3KLK_A_4TVD_A_3_5,3KLK_A,4TVD_A_3,0.6729999999999999,0.5321,1039,434,575,889,432,572,881,13
6426,3KLK_A_5LFC_A_3_2,3KLK_A,5LFC_A_3,0.6449,0.4935,1039,455,638,1020,455,636,1012,8
6427,3KLK_A_4TVD_A_2_5,3KLK_A,4TVD_A_2,0.6777,0.5388,1039,437,582,888,435,579,880,12
6428,3KLK_A_4AMC_A_3_5,3KLK_A,4AMC_A_3,0.799,0.6409,1039,728,853,1018,721,846,1011,7
6429,3KLK_A_6SZI_A_2_1,3KLK_A,6SZI_A_2,0.7145,0.585,1039,524,684,1007,524,684,1007,0
6430,3KLK_A_6SYQ_B_3_2,3KLK_A,6SYQ_B_3,0.7259,0.5984,1039,524,683,1007,524,683,1007,0
6431,3KLK_A_6SYQ_B_1_4,3KLK_A,6SYQ_B_1,0.7276,0.6039,1039,530,685,996,530,685,996,0
6432,3KLK_A_6SYQ_B_3_1,3KLK_A,6SYQ_B_3,0.7266,0.5994,1039,524,683,1007,524,683,1007,0
6433,3KLK_A_5NGY_A_3_3,3KLK_A,5NGY_A_3,0.6735,0.5236,1039,454,638,1020,454,636,1011,9
6434,3KLK_A_3TTO_A_3_2,3KLK_A,3TTO_A_3,0.6876,0.5462,1039,434,576,889,434,576,889,0
6435,3KLK_A_5LFC_A_3_4,3KLK_A,5LFC_A_3,0.6533,0.503,1039,455,638,1020,455,636,1012,8
6436,3KLK_A_4TVD_A_2_2,3KLK_A,4TVD_A_2,0.6759,0.534,1039,437,582,888,435,579,880,12
6437,3KLK_A_5LFC_A_2_3,3KLK_A,5LFC_A_2,0.667,0.5162,1039,456,639,1015,456,638,1012,3
6438,3KLK_A_6SYQ_B_2_2,3KLK_A,6SYQ_B_2,0.7269,0.5992,1039,524,684,1007,524,684,1007,0
6439,3KLK_A_6SYQ_A_2_2,3KLK_A,6SYQ_A_2,0.7152,0.5842,1039,524,684,1007,524,684,1007,0
6440,3KLK_A_6SYQ_A_1_1,3KLK_A,6SYQ_A_1,0.7177,0.5897,1039,530,685,996,530,685,996,0
6441,3KLK_A_4TTU_A_3_1,3KLK_A,4TTU_A_3,0.6889,0.5572,1039,434,575,889,432,572,881,10
6442,3KLK_A_6SZI_A_3_5,3KLK_A,6SZI_A_3,0.7209,0.5942,1039,524,683,1009,524,683,1009,0
6443,3KLK_A_6HVG_A_3_4,3KLK_A,6HVG_A_3,0.7092,0.5753,1039,524,683,1010,524,683,1009,1
6444,3KLK_A_6SZI_A_2_5,3KLK_A,6SZI_A_2,0.7209,0.5932,1039,524,684,1007,524,684,1007,0
6445,3KLK_A_6SYQ_A_3_2,3KLK_A,6SYQ_A_3,0.715,0.5847,1039,524,683,1009,524,683,1009,0
6446,3KLK_A_6SZI_A_1_3,3KLK_A,6SZI_A_1,0.7264,0.5999,1039,530,685,996,530,685,996,0
6447,3KLK_A_3TTO_A_1_2,3KLK_A,3TTO_A_1,0.6836,0.5408,1039,437,582,879,437,582,879,0
6448,3KLK_A_3TTO_A_2_4,3KLK_A,3TTO_A_2,0.6896,0.5435,1039,437,583,888,437,583,888,0
6449,3KLK_A_6SYQ_A_3_1,3KLK_A,6SYQ_A_3,0.7142,0.5825,1039,524,683,1009,524,683,1009,0
6450,3KLK_A_6SYQ_A_1_5,3KLK_A,6SYQ_A_1,0.7314,0.6041,1039,530,685,996,530,685,996,0
6451,3KLK_A_6SZI_A_3_3,3KLK_A,6SZI_A_3,0.7140000000000001,0.5852,1039,524,683,1009,524,683,1009,0
6452,3KLK_A_5LFC_A_3_5,3KLK_A,5LFC_A_3,0.6436,0.4898,1039,455,638,1020,455,636,1012,8
6453,3KLK_A_3TTO_A_1_5,3KLK_A,3TTO_A_1,0.6834,0.542,1039,437,582,879,437,582,879,0
6454,3KLK_A_4AMC_A_3_1,3KLK_A,4AMC_A_3,0.8022,0.6446,1039,728,853,1018,721,846,1011,7
6455,3KLK_A_4TTU_A_3_3,3KLK_A,4TTU_A_3,0.6752,0.547,1039,434,575,889,432,572,881,10
6456,3KLK_A_4AMC_A_2_1,3KLK_A,4AMC_A_2,0.8012,0.6461,1039,729,857,1018,722,850,1011,7
6457,3KLK_A_6SYQ_A_1_3,3KLK_A,6SYQ_A_1,0.7217,0.5957,1039,530,685,996,530,685,996,0
6458,3KLK_A_6SYQ_A_2_4,3KLK_A,6SYQ_A_2,0.7140000000000001,0.5855,1039,524,684,1007,524,684,1007,0
6459,3KLK_A_5NGY_A_2_3,3KLK_A,5NGY_A_2,0.6583,0.5065,1039,455,639,1015,455,638,1011,4
6460,3KLK_A_5NGY_A_2_4,3KLK_A,5NGY_A_2,0.6548,0.502,1039,455,639,1015,455,638,1011,4
6461,3KLK_A_6SZI_A_3_1,3KLK_A,6SZI_A_3,0.7202,0.5924,1039,524,683,1009,524,683,1009,0
6462,3KLK_A_5NGY_A_3_4,3KLK_A,5NGY_A_3,0.6471,0.4901,1039,454,638,1020,454,636,1011,9
6463,3KLK_A_6SZI_A_3_2,3KLK_A,6SZI_A_3,0.716,0.585,1039,524,683,1009,524,683,1009,0
6464,3KLK_A_6SZI_A_1_2,3KLK_A,6SZI_A_1,0.7199,0.5885,1039,530,685,996,530,685,996,0
6465,3KLK_A_6SYQ_A_2_5,3KLK_A,6SYQ_A_2,0.7179,0.5915,1039,524,684,1007,524,684,1007,0
6466,3KLK_A_4TTU_A_3_2,3KLK_A,4TTU_A_3,0.6762,0.547,1039,434,575,889,432,572,881,10
6467,3KLK_A_5LFC_A_2_4,3KLK_A,5LFC_A_2,0.662,0.5142,1039,456,639,1015,456,638,1012,3
6468,3KLK_A_6SZI_A_3_4,3KLK_A,6SZI_A_3,0.7179,0.589,1039,524,683,1009,524,683,1009,0
6469,3KLK_A_6SYQ_B_2_4,3KLK_A,6SYQ_B_2,0.7264,0.6004,1039,524,684,1007,524,684,1007,0
6470,3KLK_A_5NGY_A_3_1,3KLK_A,5NGY_A_3,0.6533,0.5,1039,454,638,1020,454,636,1011,9
6471,3KLK_A_6SYQ_B_1_3,3KLK_A,6SYQ_B_1,0.7274,0.6014,1039,530,685,996,530,685,996,0
6472,3KLK_A_3TTO_A_2_5,3KLK_A,3TTO_A_2,0.6886,0.542,1039,437,583,888,437,583,888,0
6473,3KLK_A_4TVD_A_3_3,3KLK_A,4TVD_A_3,0.6839,0.5445,1039,434,575,889,432,572,881,13
6474,3KLK_A_3TTO_A_3_3,3KLK_A,3TTO_A_3,0.6822,0.5296,1039,434,576,889,434,576,889,0
6475,3KLK_A_3TTO_A_3_5,3KLK_A,3TTO_A_3,0.6871,0.542,1039,434,576,889,434,576,889,0
6476,3KLK_A_6HVG_A_3_5,3KLK_A,6HVG_A_3,0.7090000000000001,0.5770000000000001,1039,524,683,1010,524,683,1009,1
6477,3KLK_A_6SYQ_B_1_5,3KLK_A,6SYQ_B_1,0.7085,0.5818,1039,530,685,996,530,685,996,0
6478,3KLK_A_6SZI_A_1_4,3KLK_A,6SZI_A_1,0.7274,0.5989,1039,530,685,996,530,685,996,0
6479,3KLK_A_4TVD_A_2_1,3KLK_A,4TVD_A_2,0.6792,0.5427,1039,437,582,888,435,579,880,12
6480,3KLK_A_3TTO_A_2_3,3KLK_A,3TTO_A_2,0.6861,0.5383,1039,437,583,888,437,583,888,0
